id;start_date;end_date;language
1;2020-03-21T12:00:00;2020-03-21T09:50:15;SPANISH
2;2020-03-20T16:50:11;2020-03-21T11:54:36;SPANISH
3;2020-03-21T07:45:30;2020-03-20T18:19:39;FRENCH
4;2020-03-20T23:03:01;2020-03-21T10:34:27;FRENCH
5;2020-03-21T08:33:19;2020-03-21T13:20:18;FRENCH
6;2020-03-21T02:25:40;2020-03-21T14:33:54;FRENCH
7;2020-03-21T04:11:00;2020-03-20T22:01:51;FRENCH
8;2020-03-21T03:07:13;2020-03-21T13:23:21;SPANISH
9;2020-03-21T01:48:22;2020-03-20T22:29:45;SPANISH
10;2020-03-21T10:00:26;2020-03-20T20:34:56;SPANISH
